Entity,Code_x,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),religious/spiritual activities,healthy lifestyle behaviors,work situation,personal relationships,Talked to friends or family,Took prescribed medication,in nature,mental health_professional,Have been anxious,Mental health units,Population,Continent,Code_y,GDP per capita
Aruba,ABW,,,105000.0,,,,,,,,,,,,,,,106442.0,,ABW,31902.80982
Asia,,,,4519040000.0,,,,,40.451416,72.909424,55.29829,59.814823,77.5206,46.9011,69.86946,39.313957,16.018984,,,,,
Bonaire Sint Eustatius and Saba,BES,,,25000.0,,,,,,,,,,,,,,,,,,
British Virgin Islands,VGB,,,30000.0,,,,,,,,,,,,,,,30610.0,,VGB,
Cayman Islands,CYM,,,63000.0,,,,,,,,,,,,,,,66134.0,,CYM,89846.3211
Channel Islands,OWID_CIS,,,169000.0,,,,,,,,,,,,,,,169410.0,,CHI,58564.3501
Cook Islands,COK,,,18000.0,,,,,,,,,,,,,,,,,,
Curacao,CUW,,,162000.0,,,,,,,,,,,,,,,157441.0,,CUW,19220.6867
Europe,,,,745414976.0,,,,,23.166454,69.62715,45.405403,57.2798,77.74236,57.03305,77.93554,55.4842,22.802452,,,,,
Faeroe Islands,FRO,,,48000.0,,,,,,,,,,,,,,,,,,
Falkland Islands,FLK,,,3000.0,,,,,,,,,,,,,,,,,,
French Guiana,GUF,,,275000.0,,,,,,,,,,,,,,,,,,
French Polynesia,PYF,,,276000.0,,,,,,,,,,,,,,,299717.0,,PYF,20093.20858
Gibraltar,GIB,,,34000.0,,,,,,,,,,,,,,,32685.0,,GIB,
Guadeloupe,GLP,,,400000.0,,,,,,,,,,,,,,,,,,
Hong Kong,HKG,,,7306000.0,,,,,34.004066,74.467674,41.836918,49.445797,71.51011,49.401466,63.91061,55.96541,10.020943,,,Asia,,
Isle of Man,IMN,,,84000.0,,,,,,,,,,,,,,,83933.0,,IMN,87152.46526
Latin America,,,,636233024.0,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,,,38000.0,,,,,,,,,,,,,,,38482.0,Europe,LIE,167259.1603
Macao,MAC,,,623000.0,,,,,,,,,,,,,,,,,,
Martinique,MTQ,,,376000.0,,,,,,,,,,,,,,,,,,
Mayotte,MYT,,,253000.0,,,,,,,,,,,,,,,,,,
Monaco,MCO,,,38000.0,,,,,,,,,,,,,,2.61049,37034.0,Europe,MCO,199382.8386
Montserrat,MSR,,,5000.0,,,,,,,,,,,,,,,,,,
Nauru,NRU,,,11000.0,,,,,,,,,,,,,,,12132.0,Oceania,NRU,10316.52782
New Caledonia,NCL,,,277000.0,,,,,,,,,,,,,,,271240.0,,NCL,34934.57943
Niue,NIU,,,2000.0,,,,,,,,,,,,,,,,,,
Palau,PLW,,,18000.0,,,,,,,,,,,,,,,17916.0,Oceania,PLW,15730.55955
Reunion,REU,,,876000.0,,,,,,,,,,,,,,,,,,
Saint Barthlemy,,,,10000.0,,,,,,,,,,,,,,,,,,
Saint Helena,SHN,,,6000.0,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,KNA,,,52000.0,,,,,,,,,,,,,,3.68406,,North America,,
Saint Martin (French part),MAF,,,37000.0,,,,,,,,,,,,,,,,,,
Saint Pierre and Miquelon,SPM,,,6000.0,,,,,,,,,,,,,,,,,,
San Marino,SMR,,,34000.0,,,,,,,,,,,,,,,34178.0,Europe,SMR,47287.39839
Sint Maarten (Dutch part),SXM,,,41000.0,,,,,,,,,,,,,,,39648.0,,SXM,35509.49473
Tokelau,TKL,,,1000.0,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,,,37000.0,,,,,,,,,,,,,,,43080.0,,TCA,27327.88328
Tuvalu,TUV,,,11000.0,,,,,,,,,,,,,,,10956.0,Oceania,TUV,4940.050983
Vatican,VAT,,,1000.0,,,,,,,,,,,,,,,,,,
Wallis and Futuna,WLF,,,12000.0,,,,,,,,,,,,,,,,,,
Western Sahara,ESH,,,553000.0,,,,,,,,,,,,,,,,,,
