Entity,Code_x,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),religious/spiritual activities,healthy lifestyle behaviors,work situation,personal relationships,Talked to friends or family,Took prescribed medication,in nature,mental health_professional,Have been anxious,Mental health units,Population,Continent,Code_y,GDP per capita
High-middle SDI,,0.275017,0.580783,0.225377,3.785157,1.140474,3.568498,1.80594,,,,,,,,,,,,,,
Honduras,HND,0.189815,0.752072,0.203339,2.875551,0.705705,2.752301,1.768607,,,,,,,,,,,9958829.0,North America,HND,2498.509186
Hungary,HUN,0.205524,0.703435,0.237686,3.454657,0.699142,2.765242,2.107394,26.657217,62.082047,46.1428,55.37301,70.5068,45.364056,77.88779,63.681328,13.478218,2.6472,9771141.0,Europe,HUN,16786.21364
Iceland,ISL,0.257617,0.971122,0.558014,5.290988,0.725036,3.361665,1.249029,,,,,,,,,,4.54211,360563.0,Europe,ISL,68452.23622
India,IND,0.257864,0.557112,0.157758,3.301939,0.527411,3.529853,1.126607,46.679382,77.59706,65.319916,64.66976,82.82279,56.84162,71.74699,48.53677,22.55648,0.02972,1383112050.0,Asia,IND,2050.1638
Indonesia,IDN,0.230297,0.540591,0.148782,3.28022,0.588079,2.642736,0.650506,72.98657,84.935394,68.29369,80.767746,84.52044,45.8359,80.834015,43.486214,15.2455435,0.1042,269582878.0,Asia,IDN,4151.227554
Iran,IRN,0.201307,0.81576,0.231894,6.9009,1.97166,5.116345,0.579778,56.264618,61.33049,29.92804,61.065655,79.12761,45.45148,69.385574,40.354855,25.959785,0.20035,,Asia,,
Iraq,IRQ,0.189729,0.666431,0.208672,4.722673,1.569569,3.891163,0.651614,30.957253,52.957485,32.60856,52.612537,76.73829,32.616188,64.90544,15.225221,31.20851,0.06092,41563520.0,Asia,IRQ,5621.181695
Ireland,IRL,0.328008,0.805432,0.559995,5.839092,1.053862,4.250921,2.109848,59.227043,72.094185,51.98287,58.739597,82.88917,63.34675,82.38494,69.08606,17.621708,0.61701,4934340.0,Europe,IRL,80848.3019
Israel,ISR,0.259139,0.924802,0.461175,3.063078,0.71822,3.832221,0.498381,,,,,,,,,6.228855,0.1364,9054000.0,Asia,ISR,44452.23256
Italy,ITA,0.236197,0.946257,0.626784,5.626121,1.148015,3.464256,0.462937,37.18426,76.4891,54.5747,55.139214,85.10426,62.11947,84.97651,74.57626,16.981565,0.59492,59729081.0,Europe,ITA,33673.75096
Jamaica,JAM,0.19927,0.927605,0.25965,4.577528,0.947371,2.592385,1.427646,,,,,,,,,,0.06964,2813773.0,North America,JAM,5626.170459
Japan,JPN,0.295578,0.688354,0.454379,3.569054,0.918163,3.341565,0.58288,,,,,,,,,9.992401,0.45009,126633000.0,Asia,JPN,40415.95676
Jordan,JOR,0.193886,0.811332,0.188925,4.88835,1.620545,3.563602,0.657092,31.091248,41.178677,21.947979,50.68966,67.017586,28.47173,61.035038,17.095291,24.735323,0.03275,10698683.0,Asia,JOR,4159.653754
Kazakhstan,KAZ,0.199892,0.667338,0.227918,2.607806,0.605455,3.511775,3.369006,36.446976,75.29472,48.689663,52.776203,70.82149,59.524925,83.13863,29.349737,15.052165,,18513673.0,Asia,KAZ,9812.595526
Kenya,KEN,0.170836,0.641478,0.135005,3.643353,0.486994,3.508419,1.247794,78.93723,81.672935,61.680584,80.387695,87.82827,54.098003,62.571945,39.67129,32.246994,0.03176,50951450.0,Africa,KEN,1970.08007
Kiribati,KIR,0.208108,0.424041,0.093614,3.284168,0.720942,3.172754,1.051227,,,,,,,,,,,124241.0,Oceania,KIR,1745.732415
Kuwait,KWT,0.214851,0.865134,0.34658,4.967279,1.594543,3.635679,0.677425,,,,,,,,,,,4441100.0,Asia,KWT,31230.17295
Kyrgyzstan,KGZ,0.182097,0.664215,0.127525,2.562742,0.51165,3.053673,2.733093,38.57376,58.912827,42.463196,64.65831,65.83268,49.35139,61.87264,15.41396,17.298023,0.13639,,Asia,,
Laos,LAO,0.216455,0.533568,0.128172,4.224294,0.659139,2.912431,0.918019,54.213783,88.087395,67.42581,64.814445,95.364044,68.3357,83.12077,38.703228,11.332259,,,Asia,,
Latin America and Caribbean,,0.205103,0.930317,0.287486,4.438636,0.884335,2.946384,2.097731,,,,,,,,,,,,,,
Latvia,LVA,0.19951,0.696349,0.225275,2.94495,1.041688,3.499571,4.408781,16.857319,55.54621,43.011997,46.503036,73.28339,42.87858,74.41799,38.862625,19.319052,0.15055,1913822.0,Europe,LVA,17883.34941
Lebanon,LBN,0.198376,0.996153,0.219049,6.074356,2.227297,3.676734,0.659929,21.962563,39.217323,21.766975,35.618397,60.212986,28.97568,57.872253,18.011417,18.330364,0.13672,5781907.0,Asia,LBN,8925.42186
Lesotho,LSO,0.161376,0.606321,0.136801,3.481456,0.768875,5.636661,1.654872,,,,,,,,,,,2225702.0,Africa,LSO,1074.134047
Liberia,LBR,0.161454,0.630479,0.091591,2.881373,0.515267,3.803038,0.950462,,,,,,,,,,0.06667,4985289.0,Africa,LBR,665.8784476
Libya,LBY,0.192849,0.803737,0.195726,4.97646,2.607753,3.804791,0.680014,,,,,,,,,,,6569088.0,Africa,LBY,10972.90252
Lithuania,LTU,0.200982,0.700278,0.234095,2.937224,0.631073,4.143254,4.428001,,,,,,,,,7.7945113,0.68215,2794137.0,Europe,LTU,19615.54915
Low SDI,,0.210762,0.594374,0.122071,3.540415,0.581596,3.616999,1.265128,,,,,,,,,,,,,,
Low-middle SDI,,0.229452,0.612316,0.161039,3.645971,0.727076,3.63161,1.273662,,,,,,,,,,,,,,
Luxembourg,LUX,0.263622,0.934681,0.737917,5.316516,0.933753,3.617719,1.353234,,,,,,,,,,0.70579,620001.0,Europe,LUX,112726.4397
Macedonia,MKD,0.202672,0.711225,0.184161,3.391595,0.498625,2.332386,1.869546,,,,,,,,,,,,Europe,,
Madagascar,MDG,0.16428,0.632774,0.106417,3.583301,0.496779,3.708514,1.508369,,,,,,,,,,0.04539,27533134.0,Africa,MDG,512.2796656
Malawi,MWI,0.154533,0.606166,0.100349,3.660937,0.509184,3.446137,1.604984,,,,,,,,,,,18867337.0,Africa,MWI,587.1154647
Malaysia,MYS,0.252984,0.579224,0.201462,4.340783,0.673644,3.520854,0.644969,68.6238,77.49396,59.835167,60.341454,82.908806,27.11038,82.919014,24.742746,19.344215,0.15298,32804020.0,Asia,MYS,11132.10274
Maldives,MDV,0.244707,0.565133,0.157214,3.165132,0.696757,3.09997,0.834551,,,,,,,,,,0.239,504508.0,Asia,MDV,11349.85927
Mali,MLI,0.167751,0.628798,0.116675,2.888672,0.445888,3.00742,0.90405,77.97627,74.67608,61.97451,70.95999,82.08106,70.03972,60.915295,56.547176,18.90052,0.00572,20567424.0,Africa,MLI,840.1757464
Malta,MLT,0.257632,0.96295,0.51914,5.317984,0.864663,3.374137,1.109284,27.663393,68.478424,46.917458,60.289124,82.68385,61.17238,65.29331,58.26752,20.91646,,504062.0,Europe,MLT,31751.18118
Marshall Islands,MHL,0.218616,0.429062,0.111895,3.238921,0.774688,3.104347,1.224633,,,,,,,,,,,44728.0,Oceania,MHL,5186.833842
Mauritania,MRT,0.179205,0.6622,0.145276,2.933461,0.506015,3.094161,0.928977,,,,,,,,,,0.02391,4383849.0,Africa,MRT,1800.875187
Mauritius,MUS,0.242185,0.564757,0.184433,3.322963,0.71079,3.478524,1.303688,56.81488,74.62992,63.661655,67.260956,86.92501,37.03962,58.55495,25.127468,32.38782,0.0794,1265985.0,Africa,MUS,11403.25279
Mexico,MEX,0.211765,0.818921,0.316975,3.186326,0.820863,2.788807,1.729604,47.55565,82.82454,58.07246,74.93055,78.055336,43.40719,77.089134,46.40894,23.650629,0.00635,125085311.0,North America,MEX,10434.56762
Micronesia (country),FSM,0.219298,0.437294,0.109113,3.254045,0.774408,3.134619,1.18054,,,,,,,,,,,,,,
Middle SDI,,0.260102,0.54853,0.184486,3.342456,0.840859,3.177827,1.241516,,,,,,,,,,,,,,
Moldova,MDA,0.18371,0.680891,0.141701,2.887918,0.661416,3.432549,4.074256,47.82065,69.686806,32.12114,45.6028,84.50433,53.4431,80.024055,32.65784,18.653063,0.07378,2664224.0,Europe,MDA,4405.334182
Mongolia,MNG,0.190648,0.654601,0.180157,2.57518,0.530315,3.525488,3.478108,24.021748,67.692474,52.72376,60.30599,79.32224,35.463108,79.68196,22.856056,18.170506,0.47029,3232430.0,Asia,MNG,4394.94715
Montenegro,MNE,0.203248,0.712896,0.194161,3.423967,0.60265,2.55864,1.848102,,,,,,,,,7.4613748,0.31838,622028.0,Europe,MNE,8909.653876
Morocco,MAR,0.186616,0.781827,0.175569,4.986826,1.636353,5.413573,0.574866,28.363049,53.66353,15.173208,49.3291,73.616425,30.475817,72.283134,17.1925,16.526669,0.08045,36304408.0,Africa,MAR,3498.582764
Mozambique,MOZ,0.156176,0.611099,0.103227,3.672136,0.528699,3.901795,1.708856,,,,,,,,,,0.03927,30285595.0,Africa,MOZ,512.2157569
Myanmar,MMR,0.213915,0.510456,0.125738,3.313936,0.576855,2.300982,0.870378,58.548492,70.52709,39.761223,44.854546,73.42707,46.749012,48.55097,18.310575,13.909627,0.04198,53040212.0,,MMR,1415.248986
Namibia,NAM,0.177365,0.632491,0.200987,3.508308,0.775731,3.45997,1.668762,,,,,,,,,8.979812,0.08246,2446644.0,Africa,NAM,5126.176143
Nepal,NPL,0.246394,0.584927,0.128495,3.879455,0.501678,3.606939,1.527133,36.396072,79.96148,57.267483,52.243256,83.74065,37.241043,57.21969,46.105175,15.063962,0.06281,28832496.0,Asia,NPL,1185.682318
Netherlands,NLD,0.358487,0.9473,0.467844,6.620242,0.988877,4.026854,0.776602,12.731266,69.69109,52.614864,56.922443,82.921455,49.164993,80.9843,82.74158,23.50881,,17344874.0,Europe,NLD,52476.27325
New Zealand,NZL,0.341051,1.206088,0.67329,8.539931,2.049319,3.971265,2.193405,23.603004,74.37761,51.28471,49.71017,75.589424,69.73122,77.481094,74.73303,17.365873,0.60678,4979200.0,Oceania,NZL,42747.20993
Nicaragua,NIC,0.199563,0.79928,0.205876,2.9123,0.599889,2.854084,2.047305,69.00884,87.899376,72.80597,80.941956,85.740456,58.88539,82.19462,48.163048,35.3196,0.01644,6663924.0,North America,NIC,1905.640917
Niger,NER,0.163845,0.631572,0.096116,2.891358,0.462455,3.463055,0.911306,,,,,,,,,,0.03259,23443393.0,Africa,NER,549.8161278
Nigeria,NGA,0.182126,0.644635,0.163373,2.915837,0.461802,3.917691,0.964767,79.61398,69.28313,55.55149,68.47103,81.09143,43.29604,48.036205,15.6555,15.3876705,,203304492.0,Africa,NGA,2334.023642
North Africa and Middle East,,0.19572,0.791333,0.214377,4.943838,1.712406,3.96541,0.659221,,,,,,,,,,,,,,
North America,,0.33204,0.657692,0.50947,6.490707,3.338079,4.752802,1.997606,53.024467,79.07586,58.112545,67.51389,80.36922,60.56411,82.27631,63.396038,22.815329,,366012359.0,,NAC,63584.03774
North Korea,PRK,0.236198,0.326334,0.09091,3.240918,0.929488,3.090846,1.370886,,,,,,,,,,,,Asia,,
Northern Ireland,,0.262631,1.142527,0.523497,7.46427,1.229126,4.105621,1.141167,,,,,,,,,,,,,,
Northern Mariana Islands,MNP,0.258128,0.487045,0.195841,3.300622,0.791444,3.097055,1.466786,,,,,,,,,,,49858.0,,MNP,23687.27185
Norway,NOR,0.211484,0.856901,0.570363,7.585503,0.832286,3.77191,1.419003,14.538441,59.995953,53.426712,52.447567,75.18707,45.256138,63.919132,74.65955,22.682476,0.48078,5347896.0,Europe,NOR,76430.58895
Oceania,,0.214379,0.419199,0.110457,3.209406,0.740219,3.164265,1.194757,19.84918,78.07818,55.064205,57.184196,82.779366,71.19648,79.46265,75.35535,25.659658,,,,,
Oman,OMN,0.202474,0.787468,0.254958,4.519612,1.734114,3.433951,0.691763,,,,,,,,,,,4602768.0,Asia,OMN,19132.15227
Pakistan,PAK,0.256442,0.574046,0.154583,3.823379,0.656776,3.33128,1.532773,,,,,,,,,,0.42243,223293280.0,Asia,PAK,1437.165833
Palestine,PSE,0.188285,0.824968,0.143883,4.985536,1.522458,4.665074,0.64897,,,,,,,,,,,,,,
Panama,PAN,0.213259,0.812158,0.31665,2.891779,0.727573,2.679025,1.409489,,,,,,,,,,0.27713,4232532.0,North America,PAN,16472.83175
Papua New Guinea,PNG,0.209555,0.411127,0.10496,3.192717,0.738106,3.168661,1.212566,,,,,,,,,,,9542486.0,Oceania,PNG,2593.775554
Paraguay,PRY,0.202426,1.075629,0.238288,6.015214,0.527618,2.95884,2.384385,59.636852,80.09212,50.466183,59.973225,76.89931,42.035915,78.7737,39.23913,23.108562,0.03012,6530026.0,South America,PRY,5807.838794
Peru,PER,0.203293,0.890709,0.369216,4.259925,0.578556,2.276321,1.429939,56.20702,85.73192,72.650345,82.70601,84.922966,54.38118,85.459274,45.681732,49.34965,0.05737,32824861.0,South America,PER,6956.495749
Philippines,PHL,0.224422,0.535513,0.134855,3.26972,0.648898,2.765176,0.894195,49.365623,84.270584,67.59625,70.40088,94.9963,41.717888,77.751175,21.831205,19.656734,0.08258,110380804.0,Asia,PHL,3413.849044
Poland,POL,0.20781,0.712264,0.229485,3.461075,0.790932,2.250472,2.044346,27.881594,69.964645,36.660217,65.39474,84.898705,68.5301,74.02871,66.11285,20.60181,0.26133,37965475.0,Europe,POL,15700.01358
Portugal,PRT,0.249372,0.925815,0.513079,5.383261,0.709413,4.421461,1.262905,32.367702,80.49151,48.404198,52.53663,78.639946,67.66625,76.59218,58.517345,26.33028,0.28795,10286263.0,Europe,PRT,23330.81729
Puerto Rico,PRI,0.212347,0.942408,0.412628,4.683654,0.906125,2.726108,1.684373,,,,,,,,,,,3193694.0,,PRI,32916.8668
Qatar,QAT,0.21514,0.8199,0.318165,4.336059,2.024984,3.482327,0.731734,,,,,,,,,,0.0382,2807235.0,Asia,QAT,62827.39696
Romania,ROU,0.201195,0.751815,0.2007,3.227186,0.458056,2.359174,1.690183,44.47758,68.62652,25.702744,52.018707,83.580925,42.768414,80.47305,41.284595,15.480113,0.39242,19371648.0,Europe,ROU,12957.99911
Russia,RUS,0.1984,0.676063,0.232375,2.945051,0.905038,3.707925,4.727182,17.541325,61.63527,41.771442,64.40816,72.52477,41.115032,77.51596,24.984978,28.80622,,,Asia,,
Rwanda,RWA,0.163688,0.62571,0.115817,3.702435,0.570294,3.86945,2.342694,,,,,,,,,,0.39554,12835028.0,Africa,RWA,806.332472
Saint Lucia,LCA,0.199945,0.904806,0.286341,4.593078,0.889612,2.839268,1.909311,,,,,,,,,,,,North America,,
Saint Vincent and the Grenadines,VCT,0.196204,0.88044,0.274837,4.524137,0.793924,2.859089,2.240254,,,,,,,,,,,,North America,,
Samoa,WSM,0.234876,0.460366,0.126132,3.255973,0.844905,3.038938,1.109339,,,,,,,,,,0.51611,211905.0,Oceania,WSM,4308.300729
Sao Tome and Principe,STP,0.178482,0.663349,0.13484,2.921524,0.497441,3.136314,1.01729,,,,,,,,,,0.51137,214599.0,Africa,STP,1924.40815
Saudi Arabia,SAU,0.205707,0.817433,0.289615,4.754236,1.710318,3.536847,0.679911,,65.42329,38.515568,65.34663,68.85982,16.64432,76.44302,14.718273,29.95655,0.01268,35827362.0,Asia,SAU,23405.70874
Scotland,,0.238492,0.945159,0.471236,4.73573,1.916412,4.161067,3.327027,,,,,,,,,,,,,,
Senegal,SEN,0.173616,0.648156,0.12529,2.899331,0.478695,3.370497,0.921069,66.859535,68.23765,57.703644,48.696583,73.58441,57.25855,58.33919,42.83574,21.827152,0.02671,16000781.0,Africa,SEN,1462.678353
Serbia,SRB,0.200264,0.699141,0.187147,3.404672,0.441905,2.570068,2.018133,,,,,,,,,10.0786,0.40672,6945235.0,Europe,SRB,7417.206608
Seychelles,SYC,0.247689,0.565984,0.197452,3.30267,0.790406,2.886514,0.855465,,,,,,,,,,,97625.0,Africa,SYC,19141.51187
Sierra Leone,SLE,0.165455,0.624756,0.109799,2.880725,0.496263,3.581501,0.936624,,,,,,,,,,,8046828.0,Africa,SLE,506.6069138
Singapore,SGP,0.27409,0.730592,0.553712,3.730467,0.914669,3.438271,0.491369,,,,,,,,,,0.07226,5703569.0,Asia,SGP,66081.71992
Slovakia,SVK,0.208419,0.712434,0.235475,3.444251,0.67835,2.401999,2.500482,26.909904,76.08368,56.19745,69.502396,84.32788,51.572186,81.89657,54.726707,15.389589,,,Europe,,
Slovenia,SVN,0.211824,0.725343,0.239636,3.449773,0.906052,2.863278,2.246827,,,,,,,,,9.423891,0.0482,2088385.0,Europe,SVN,26042.44635
Solomon Islands,SLB,0.210462,0.427707,0.094189,3.214828,0.703739,3.153068,1.134592,,,,,,,,,,,674993.0,Oceania,SLB,2398.77305
Somalia,SOM,0.153912,0.620442,0.079896,3.568698,0.497894,3.784748,1.538571,,,,,,,,,,,15981300.0,Africa,SOM,589.4658919
South Africa,ZAF,0.181937,0.636613,0.214718,3.99283,0.921499,3.745871,1.550514,62.38304,76.17302,55.83901,70.64971,83.09552,47.996967,66.659195,49.911667,18.588274,0.07234,58087055.0,Africa,ZAF,6702.526617
South Asia,,0.257193,0.562156,0.155251,3.455893,0.540559,3.566448,1.209075,,,,,,,,,,,1861598514.0,,SAS,1965.090614
South Korea,KOR,0.263994,0.569459,0.417103,3.778005,0.914319,3.165684,2.02005,18.567822,67.64175,45.70268,45.7664,58.99228,46.21585,69.80932,55.34473,11.832521,0.38938,,Asia,,
South Sudan,SSD,0.168801,0.625867,0.134608,3.553077,0.502398,3.699147,1.548225,,,,,,,,,,0.00842,10447666.0,Africa,SSD,
Southeast Asia,,0.231524,0.541305,0.14565,3.164195,0.643613,2.807239,0.917453,,,,,,,,,,,,,,
"Southeast Asia, East Asia, and Oceania",,0.303991,0.389567,0.154266,3.061018,0.964306,3.180873,1.147284,,,,,,,,,,,,,,
Southern Latin America,,0.199042,0.778532,0.407336,6.281627,1.069045,3.772206,1.967898,,,,,,,,,,,,,,
Southern Sub-Saharan Africa,,0.177591,0.631753,0.196458,3.798155,0.88095,3.692727,1.553901,,,,,,,,,,,,,,
Spain,ESP,0.281539,0.976917,0.730626,5.280279,1.468868,3.538359,0.885003,18.188236,73.65014,39.301422,57.077297,87.31633,72.852615,77.59471,74.324295,21.567234,1.02807,47134837.0,Europe,ESP,29581.51855
Sri Lanka,LKA,0.238045,0.569095,0.159144,3.369917,0.665203,3.44333,0.950453,79.540665,74.81159,37.734955,49.514526,84.744804,44.99341,82.962746,18.156517,20.327734,0.14966,21803000.0,Asia,LKA,4082.694049
Sub-Saharan Africa,,0.169483,0.629672,0.13409,3.30785,0.535481,3.776132,1.309799,,,,,,,,,,,1121549049.0,,SSF,1632.082812
Sudan,SDN,0.176167,0.747536,0.147025,4.899048,1.408446,3.781451,0.645813,,,,,,,,,,,43232093.0,Africa,SDN,748.0109253
Suriname,SUR,0.186999,0.869735,0.307738,4.56807,0.701883,3.973583,1.76127,,,,,,,,,,,600301.0,South America,SUR,6690.044786
Swaziland,SWZ,0.172883,0.608545,0.189604,3.484456,0.781635,4.067654,1.704301,,,,,,,,,,,,Africa,,
Sweden,SWE,0.270392,1.05793,0.574608,5.293837,0.729285,4.487911,1.586588,9.442642,67.1728,52.484837,46.703934,90.40839,59.277653,80.76854,65.36293,24.694782,,10278887.0,Europe,SWE,51939.42974
